schema_version	agent	command	capability	access	result_verifier	metadata_stages	metadata_types
1	s0-secrets	/add	orchestrated-special	write	secret-provider-dispatch	-	-
1	s0-secrets	/env	read-only-no-output	read-only	process-exit	-	-
1	s0-secrets	/rotate	orchestrated-special	write	secret-provider-dispatch	-	-
1	l1-analyze	/analyze	orchestrated-special	write	local-repositories-dispatch	-	-
1	l2-setup	/setup	orchestrated-special	write	local-repositories-dispatch	-	-
1	l3-build	/build	orchestrated-special	write	local-repositories-dispatch	-	-
1	l4-run	/run	orchestrated-special	write	local-repositories-dispatch	-	-
1	s0-kickoff	/cr	orchestrated-special	write	change-request-dispatch	-	-
1	s0-kickoff	/new	orchestrated-special	write	kickoff-dispatch	-	-
1	s0-kickoff	/product-ci-profile	mutating-declared-output	write	declared-output-groups	-	-
1	s0-kickoff	/refresh	orchestrated-special	write	kickoff-dispatch	-	-
1	s0-kickoff	/start	orchestrated-special	write	kickoff-dispatch	-	-
1	s0-quality-gates	/configure	mutating-declared-output	write	declared-output-groups	TRACKING	quality-characteristics-view,quality-policy
1	s0-quality-gates	/validate-gates	read-only-no-output	read-only	process-exit	-	-
1	s0-tracker	/backlog	read-only-no-output	read-only	process-exit	-	-
1	s0-tracker	/release-notes	orchestrated-special	write	release-notes-dispatch	TRACKING	project-release-notes
1	s0-tracker	/report	mutating-declared-output	write	declared-output-groups	TRACKING	cycle-summary
1	s0-tracker	/sprint-close	orchestrated-special	write	tracker-sprint-close-postconditions	-	-
1	s0-tracker	/sprint-init	orchestrated-special	write	tracker-sprint-init-postconditions	-	-
1	s0-tracker	/sprint-status	read-only-no-output	read-only	process-exit	-	-
1	s0-tracker	/task-add	orchestrated-special	write	tracker-task-postconditions	-	-
1	s0-tracker	/task-block	orchestrated-special	write	tracker-task-postconditions	-	-
1	s0-tracker	/task-done	orchestrated-special	write	tracker-task-done-postconditions	-	-
1	s0-validate	/dod-check	read-only-no-output	read-only	process-exit	-	-
1	s0-validate	/dor-check	read-only-no-output	read-only	process-exit	-	-
1	s0-validate	/evidence-check	read-only-no-output	read-only	process-exit	-	-
1	s0-validate	/evidence-summary	orchestrated-special	write	evidence-summary-script	-	-
1	s0-validate	/fix	orchestrated-special	write	structure-fix-dispatch	-	-
1	s0-validate	/migration-report	read-only-no-output	read-only	process-exit	-	-
1	s0-validate	/profile-check	read-only-no-output	read-only	process-exit	-	-
1	s0-validate	/repair	orchestrated-special	write	repair-child-run	-	-
1	s0-validate	/review	orchestrated-special	read-only	review-findings-run	-	-
1	s0-validate	/validate	read-only-no-output	read-only	process-exit	-	-
1	s1-finance	/business-case	mutating-declared-output	write	declared-output-groups	S1	business-case
1	s1-pm	/feasibility	mutating-declared-output	write	declared-output-groups	S1	feasibility,feasibility-study
1	s1-pm	/vision	mutating-declared-output	write	declared-output-groups	S1	vision,product-vision
1	s1-pmo	/charter	mutating-declared-output	write	declared-output-groups	S1,TRACKING	project-charter,project-constraints
1	s1-pmo	/risks	mutating-declared-output	write	declared-output-groups	S1	risk-register
1	s2-ba	/brd	mutating-declared-output	write	declared-output-groups	S2	brd,business-requirements,nonfunctional-requirements,requirements-traceability
1	s2-ba	/extract-requirements	mutating-declared-output	write	declared-output-groups	S2	brd,business-requirements
1	s2-po	/stories	mutating-declared-output	write	declared-output-groups	S2	backlog,ux-brief,ux-not-applicable,uat-criteria
1	s2-qa-req	/testability-review	mutating-declared-output	write	declared-output-groups	S2	requirements-testability-review
1	s2-security	/security-requirements	mutating-declared-output	write	declared-output-groups	S2	security-requirements
1	s2-test-strategy	/strategy	mutating-declared-output	write	declared-output-groups	S2	test-strategy
1	s3-arch	/adr	mutating-declared-output	write	declared-output-groups	S3	architecture-decision
1	s3-arch	/api-spec	mutating-declared-output	write	declared-output-groups	S3	api-not-applicable
1	s3-arch	/hld	mutating-declared-output	write	declared-output-groups	S3	architecture-hld,api-not-applicable
1	s3-dba	/migration	mutating-declared-output	write	declared-output-groups	S3	migration-runbook,not-applicable
1	s3-dba	/schema	mutating-declared-output	write	declared-output-groups	S3	data-schema,not-applicable
1	s3-rbac	/rbac-matrix	mutating-declared-output	write	declared-output-groups	S3	authorization-matrix,rbac-matrix
1	s3-rbac	/rbac-model	mutating-declared-output	write	declared-output-groups	S3	authorization-model,authorization-matrix,not-applicable
1	s3-security	/threat-model	mutating-declared-output	write	declared-output-groups	S3	threat-model
1	s4-dev	/dev-report	mutating-declared-output	write	declared-output-groups	S4	dev-summary,dev-pr-summary,update-notes
1	s4-dev	/update-notes	mutating-declared-output	write	declared-output-groups	S4	update-notes
1	s4-qa-auto	/run-tests	mutating-declared-output	write	declared-output-groups	S4	tdd-report,tdd-status
1	s4-qa-auto	/write-tests	mutating-declared-output	write	declared-output-groups	S4	tdd-report,tdd-status
1	s4-techlead	/review	mutating-declared-output	write	declared-output-groups	S4	techlead-review
1	s5-perf	/load-test	mutating-declared-output	write	declared-output-groups	S5	performance-report
1	s5-qa-auto	/e2e-report	mutating-declared-output	write	declared-output-groups	S5	e2e-report,coverage-report
1	s5-qa	/go-no-go	mutating-declared-output	write	declared-output-groups	S5	exploratory-report,defect-register,test-analysis,gate5-decision
1	s5-qa	/test-plan	mutating-declared-output	write	declared-output-groups	S5	test-plan,test-cases
1	s5-security	/security-test	mutating-declared-output	write	declared-output-groups	S5	pentest-report,security-test-report
