step	agent	command	gate_before	gate_after	dod_after	completion_after
1	s1-pm	/feasibility	none	none	none	none
2	s1-pm	/vision	none	none	none	none
3	s1-finance	/business-case	none	none	none	none
4	s1-pmo	/charter	none	none	none	none
5	s1-pmo	/risks	none	none	none	none
6	s0-quality-gates	/configure	none	none	none	none
7	s2-ba	/extract-requirements	1	none	none	none
8	s2-ba	/brd	none	none	none	none
9	s2-po	/stories	none	none	none	none
10	s2-qa-req	/testability-review	none	none	none	none
11	s2-test-strategy	/strategy	none	none	none	none
12	s2-security	/security-requirements	none	none	none	none
13	s3-arch	/hld	2	none	none	none
14	s3-arch	/adr	none	none	none	none
15	s3-security	/threat-model	none	none	none	none
16	s3-rbac	/rbac-model	none	none	none	none
17	s3-dba	/schema	none	none	none	none
18	s3-dba	/migration	none	none	none	none
19	s4-qa-auto	/write-tests	3	none	none	none
20	s4-dev	/dev-report	none	none	none	none
21	s4-qa-auto	/run-tests	none	none	none	none
22	s4-techlead	/review	none	none	full	none
23	s5-qa	/test-plan	4	none	none	none
24	s5-qa-auto	/e2e-report	none	none	none	none
25	s5-perf	/load-test	none	none	none	none
26	s5-security	/security-test	none	none	none	none
27	s5-qa	/go-no-go	none	5	none	none
28	s0-tracker	/report	none	none	none	full
