schema_version	agent	command	collection	read	propose_add	propose_supersede	propose_tombstone
1	s0-kickoff	/start	planning	allow	allow	allow	allow
1	s0-kickoff	/new	planning	allow	allow	allow	allow
1	s0-kickoff	/refresh	planning	allow	allow	allow	allow
1	s0-kickoff	/product-ci-profile	planning	allow	allow	allow	allow
1	s0-tracker	/report	planning	allow	allow	allow	allow
1	s0-tracker	/backlog	planning	allow	allow	allow	allow
1	s0-tracker	/sprint-status	planning	allow	allow	allow	allow
1	s1-pm	/vision	planning	allow	allow	allow	allow
1	s1-pm	/feasibility	planning	allow	allow	allow	allow
1	s1-pmo	/charter	planning	allow	allow	allow	allow
1	s1-pmo	/risks	planning	allow	allow	allow	allow
1	s1-finance	/business-case	planning	allow	deny	deny	deny
1	s2-ba	/brd	planning	allow	allow	allow	allow
1	s2-ba	/extract-requirements	planning	allow	allow	allow	allow
1	s2-po	/stories	planning	allow	allow	allow	allow
1	s0-defects	/review	defects	allow	deny	deny	deny
1	s0-defects	/propose	defects	allow	allow	allow	allow
1	s0-defects	/reconcile	defects	allow	allow	allow	allow
1	s3-arch	/hld	architecture	allow	allow	allow	allow
1	s3-arch	/adr	architecture	allow	allow	allow	allow
1	s3-arch	/api-spec	architecture	allow	allow	allow	allow
1	s3-security	/threat-model	architecture	allow	deny	deny	deny
1	s3-rbac	/rbac-model	architecture	allow	deny	deny	deny
1	s3-rbac	/rbac-matrix	architecture	allow	deny	deny	deny
1	s3-dba	/schema	architecture	allow	deny	deny	deny
1	s3-dba	/migration	architecture	allow	deny	deny	deny
